"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"NALCN",155.69872926791,-1.20546645285376,0.144070015904509,-8.36722648557732,5.89902462931066e-17,8.88688060405651e-13,"protein_coding"
"RTKN2",369.128715139966,-2.68497539221605,0.32856284641398,-8.1718776834343,3.03626289479707e-16,1.98174410293858e-12,"protein_coding"
"ITGBL1",1929.83907105383,-1.3568495603774,0.166685122916526,-8.14019593732371,3.94638719470012e-16,1.98174410293858e-12,"protein_coding"
"MATN3",141.296579308623,-1.58994038779639,0.200183193901836,-7.94242691809608,1.98263173934852e-15,7.46708678832136e-12,"protein_coding"
"IL1RL1",1587.82846806804,-2.25747698719574,0.297303420629147,-7.59317529014138,3.12159801560577e-14,8.1014925496096e-11,"protein_coding"
"HMGB3",545.606095868177,1.2367549889897,0.16296918910542,7.58888840141238,3.2266150214177e-14,8.1014925496096e-11,"protein_coding"
"CEACAM5",140.161532244204,3.09781750616272,0.416894651517844,7.43069620798463,1.08027561626068e-13,2.32490745128102e-10,"protein_coding"
"ITLN2",26.1967145224278,-3.33598853454685,0.452155474149893,-7.37796781255145,1.60723809928999e-13,3.02663024572545e-10,"protein_coding"
"CDKN2B",306.944818322732,-1.45719571352437,0.200769640619736,-7.2580481243394,3.92715844731922e-13,6.57362688987378e-10,"protein_coding"
"ABCA12",20.2617841295673,2.37572367023107,0.328202280015718,7.23859587482847,4.53353677059736e-13,6.82977314490492e-10,"protein_coding"
"FGFBP1",72.4237139066398,2.69642287058038,0.380275997564793,7.09069961777157,1.33435691652059e-12,1.82746244976207e-09,"protein_coding"
"HEG1",4343.82882548528,-0.765985727732306,0.108319532472407,-7.07153834815001,1.53225445773282e-12,1.92361778381208e-09,"protein_coding"
"EPAS1",21982.1225668755,-0.909677934325662,0.129928467854331,-7.00137505927914,2.53462404726977e-12,2.93723932862455e-09,"protein_coding"
"COL17A1",525.14356873218,2.19360043108751,0.315260595023422,6.95805459266019,3.45003532557485e-12,3.71248444141322e-09,"protein_coding"
"TMEM130",164.196624392236,-1.54593406819414,0.224720543487328,-6.87936244814802,6.01210172090846e-12,6.03815416169906e-09,"protein_coding"
"C1orf198",1391.79582399212,-0.585382815786391,0.0854974923359891,-6.846783452852,7.55289127177702e-12,7.11151918808255e-09,"protein_coding"
"F2R",1836.60907073999,-1.03975290448854,0.152702403270384,-6.80901467311877,9.82694575830266e-12,8.70840810875468e-09,"protein_coding"
"SPRY4",1292.09403096885,-0.930539305997088,0.138129822225511,-6.73670096004241,1.62023153033871e-11,1.33442155512438e-08,"protein_coding"
"PALD1",744.822890208535,-0.940404307925387,0.13970877184359,-6.73117582751502,1.68297441403009e-11,1.33442155512438e-08,"protein_coding"
"HTR2B",42.4616685898511,-1.37886031817632,0.20590002068832,-6.6967468656235,2.13110299464885e-11,1.60525333071925e-08,"protein_coding"
"UNC5B",899.496925572877,-0.754885748033551,0.112924837713497,-6.68485129860253,2.3115924465672e-11,1.65829239083499e-08,"protein_coding"
"NCKAP5",247.855537463598,-1.34580917595184,0.201572410192273,-6.67655446828322,2.44625174278068e-11,1.67512647749959e-08,"protein_coding"
"SPOCK2",1627.48959295915,-1.46352972054276,0.220103196333726,-6.64928881052559,2.94512596255487e-11,1.86693457810321e-08,"protein_coding"
"MUC5AC",227.536085429865,4.62542828474499,0.695778882077779,6.64784230146832,2.97420709422351e-11,1.86693457810321e-08,"protein_coding"
"KRT13",108.90813059594,2.69974019913771,0.406943449490479,6.63419008837215,3.26289118274438e-11,1.96621822672176e-08,"protein_coding"
"PHLDB1",2652.67717994728,-0.615928371159545,0.093229769847344,-6.60656324871419,3.93344263151691e-11,2.20217556127899e-08,"protein_coding"
"SLC6A4",1164.89810128629,-3.33107248179706,0.504244915503455,-6.60606062526423,3.94681315330452e-11,2.20217556127899e-08,"protein_coding"
"ITGA11",385.754851588325,-1.02636357736093,0.155702953530119,-6.59180544807326,4.34509759265370e-11,2.33781768690457e-08,"protein_coding"
"LGALS7B",12.8544428430871,3.81510507302149,0.583573566837889,6.5374877989998,6.25607467570114e-11,3.24992293067026e-08,"protein_coding"
"CYP3A5",206.248435766745,-1.64338324235704,0.251750678890668,-6.52782049922788,6.67336027049105e-11,3.35113908249825e-08,"protein_coding"
"SEC22C",947.381792597604,-0.309762779934038,0.0476844563928517,-6.49609544422686,8.24313723118891e-11,3.54808178251031e-08,"protein_coding"
"RAB38",89.6800846665061,0.770862965915053,0.118524306192595,6.50383866970243,7.8295865071615e-11,3.54808178251031e-08,"protein_coding"
"TFAP2C",67.3903173129962,1.50756927305345,0.23198915725363,6.49844712960118,8.11533048453124e-11,3.54808178251031e-08,"protein_coding"
