"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"DNASE1L3",423.642070465857,-2.76370986968546,0.337975771522896,-8.17724257934932,2.90412984377385e-16,4.37507160964531e-12,"protein_coding"
"POSTN",2191.03563817737,-1.82755580638951,0.29632224907691,-6.16746063477389,6.93953810305569e-10,2.61360353806335e-06,"protein_coding"
"CCL23",160.684786953581,-1.77440991361598,0.283847048452534,-6.25128893638188,4.07078963826617e-10,2.61360353806335e-06,"protein_coding"
"PI3",301.661394620942,3.5504211329119,0.574525094762891,6.17974944049603,6.4203416902544e-10,2.61360353806335e-06,"protein_coding"
"CCR7",66.2235960967783,2.32304708278294,0.394924589689175,5.88225484923917,4.04714529314508e-09,1.21940487682461e-05,"protein_coding"
"PLA1A",495.558571392147,-1.21606605926955,0.219501249143335,-5.54013275102344,3.02242442822822e-08,6.50468914446546e-05,"protein_coding"
"NIBAN3",14.8666055595553,1.39560570623757,0.251321211166069,5.55307568255897,2.80686475404337e-08,6.50468914446546e-05,"protein_coding"
"HDAC9",199.305447949933,-1.33825388652551,0.242651273496824,-5.51513234297131,3.48517597187194e-08,6.56302200203134e-05,"protein_coding"
"MMP9",336.117838504417,2.0973835219953,0.382433013790452,5.48431606677275,4.15072090840847e-08,6.94784560946374e-05,"protein_coding"
"RGL4",38.2133573847281,1.73976154133573,0.3211557375381,5.41718966216301,6.05431084729e-08,9.12081929144239e-05,"protein_coding"
"SLC2A5",38.3169580447135,1.93206138207746,0.358587551888453,5.38797672117316,7.12552786552783e-08,9.75873429947061e-05,"protein_coding"
"LTBP2",4483.41592160355,-0.76330902638583,0.14222875147767,-5.36677020964829,8.01590757431296e-08,0.000100633039672521,"protein_coding"
"ZDHHC18",591.625776167263,0.433245817868398,0.0810278691323678,5.34687413734951,8.94861968397823e-08,0.000103700735030102,"protein_coding"
"MYRIP",103.870262373709,-1.77824024987494,0.344203071071266,-5.16625329443027,2.3883308250428e-07,0.000224876274245437,"protein_coding"
"LIMD2",434.744930636311,1.08800117540129,0.209616488704577,5.19043698387041,2.09801118800657e-07,0.000224876274245437,"protein_coding"
"ICAM3",397.478646270923,0.838857728852424,0.162088410780297,5.17530972642736,2.27533207463606e-07,0.000224876274245437,"protein_coding"
"SHCBP1",50.9776070737658,1.22697603016881,0.238098981900691,5.1532182975926,2.5605360188656e-07,0.000226908677201237,"protein_coding"
"NMUR2",16.5311519634352,-2.35772208172631,0.459338754454068,-5.13286122467177,2.85370323091601e-07,0.000238839106520832,"protein_coding"
"ISM1",136.542974210496,-0.921362390050642,0.180092229289366,-5.11605855336616,3.11986245925699e-07,0.000247372252361613,"protein_coding"
"LGALS12",15.6619718609437,1.4469160491707,0.284046942712183,5.09393283854781,3.50711048956133e-07,0.000252683105062788,"protein_coding"
"NFE2",152.095295484566,1.22880016193847,0.241509085991214,5.0880080014181,3.61844107627657e-07,0.000252683105062788,"protein_coding"
"PSTPIP1",225.036799142425,1.16436400507234,0.229012093854458,5.08429046464384,3.69002874967231e-07,0.000252683105062788,"protein_coding"
"XPO6",1582.07994040632,0.482486441256252,0.0953185922679843,5.06182927985089,4.15252787755898e-07,0.000265412614595365,"protein_coding"
