"Gene Name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype"
"FNDC1",376.951698654996,4.55238152777033,0.242065710191952,18.8063874233175,6.69474417239828e-79,1.0085632095718e-74,"protein_coding"
"NECAB1",72.6732523524472,-4.08036536332271,0.219107486616456,-18.6226651874535,2.10473399078111e-77,1.58539087855587e-73,"protein_coding"
"COL17A1",542.170509791804,5.67532507694552,0.330512294916555,17.1712979039959,4.3557048195971e-66,2.18728977024101e-62,"protein_coding"
"LTBP1",3667.63958476475,2.11288873704429,0.128688895821851,16.4185784915681,1.40827426720013e-60,5.30391295884249e-57,"protein_coding"
"LDLRAD4",570.312770541676,1.34465761266919,0.0833437695362017,16.1338708358411,1.4748018585373e-58,4.00233015287666e-55,"protein_coding"
"ISM1",427.960141512565,2.71307461875808,0.16821023176886,16.1290700941793,1.59402462112578e-58,4.00233015287666e-55,"protein_coding"
"HR",147.773781483838,2.76114949710138,0.174355655690756,15.8363058896045,1.74792288729303e-56,3.76177975672421e-53,"protein_coding"
"DSC3",276.692361956674,5.8729122886839,0.38398567377045,15.2946130281797,8.30530060929157e-53,1.56399192098722e-49,"protein_coding"
"PTCHD4",56.6165552738323,3.208140166687,0.211977255452904,15.1343603342377,9.61106672421961e-52,1.60878578000409e-48,"protein_coding"
"DIO2",453.450100372778,4.32889718143135,0.288935518199627,14.9822258211969,9.59490398345894e-51,1.44547228510809e-47,"protein_coding"
"FHL2",509.167071627603,2.33013359800899,0.157392282545346,14.8046242187108,1.36749127977438e-49,1.87284146634555e-46,"protein_coding"
"MMP7",1937.0179382826,5.00487311118021,0.3467131858902,14.4351969145044,3.10756915932228e-47,3.90129411543252e-44,"protein_coding"
"CFH",6861.50382965607,1.89958982091815,0.131682219315237,14.4255604955341,3.57354999077037e-47,4.14119466238121e-44,"protein_coding"
"NFE2",102.185561328923,-3.03561618699133,0.2114390414886,-14.356933164375,9.63995149059238e-47,1.0373276371841e-43,"protein_coding"
"POSTN",7408.05434694524,3.56449102751672,0.250237814580189,14.244413992732,4.85604315075379e-46,4.87708600440706e-43,"protein_coding"
"SUGCT",37.5625031828625,2.37877096550761,0.169934478126582,13.9981655973056,1.59946076889332e-44,1.50599228021111e-41,"protein_coding"
"DNAJC22",45.2333553443841,2.94510540892425,0.21104134453211,13.9551110966133,2.92845049579182e-44,2.59512392465316e-41,"protein_coding"
"PSD3",608.360049367861,1.45001068421464,0.104885891370551,13.8246494859056,1.80991919010468e-43,1.5148018110515e-40,"protein_coding"
"ENTPD1",1868.15639312018,1.51519317660383,0.109800947907454,13.7994544262124,2.56788644819281e-43,2.03606364958025e-40,"protein_coding"
"PCDH7",442.573899812559,2.31690180332654,0.168732129767143,13.7312425708367,6.5991938245517e-43,4.97084274834357e-40,"protein_coding"
"PDE7B",208.484151980694,2.13656588368438,0.156037895164784,13.6926089744292,1.12399771996614e-42,8.06334554823331e-40,"protein_coding"
"MMP13",124.802502523831,6.78967307891622,0.497899206057514,13.6366417064178,2.42472111796624e-42,1.66038289282552e-39,"protein_coding"
"EDA2R",119.87022173039,2.02645097120431,0.149145622019368,13.5870630580169,4.77874414548832e-42,3.13007741529485e-39,"protein_coding"
"ASPN",1310.43660515031,3.57490899156156,0.267175416806252,13.3803814523624,7.87422215965408e-41,4.94271486813286e-38,"protein_coding"
"FBXO32",751.60088203332,2.00076213253678,0.14958955947942,13.3750118624558,8.46401942289596e-41,5.10041810423711e-38,"protein_coding"
"PTGFRN",1276.33633329967,1.85937197731922,0.140398426477766,13.2435385777893,4.9176122239095e-40,2.84937800589218e-37,"protein_coding"
"KLHL13",149.320903728307,2.4402398235861,0.185240646795569,13.1733497253393,1.24929356630837e-39,6.97059539867984e-37,"protein_coding"
"SERPINB5",143.533103589879,7.61389098034403,0.580688088880375,13.1118428742432,2.81669790803836e-39,1.5154840708785e-36,"protein_coding"
"TMEM59L",76.2724848303658,3.60790768181431,0.275945484304184,13.0747118073409,4.59301344201665e-39,2.38599129324072e-36,"protein_coding"
"CSRNP3",90.8137426627604,2.01450786792704,0.15435797856633,13.0508826731063,6.28153827962545e-39,3.15437913941858e-36,"protein_coding"
"COL14A1",5790.75208758481,2.85030105507468,0.218684875652673,13.0338279982457,7.85649615780028e-39,3.81800369733101e-36,"protein_coding"
"DSG3",61.818986945325,8.99852956159812,0.693522782894089,12.9751030298486,1.69368449354791e-38,7.97354902978101e-36,"protein_coding"
"PAMR1",305.668655095646,2.67574248394113,0.207474060288031,12.8967567329933,4.6944207211921e-38,2.14307418681088e-35,"protein_coding"
